county,GEOID,year,renting_hh,filings_observed,ind_filings_court_issued_lt,hh_threat_observed,filing_rate,threat_rate,NAME,asian_hhs,asian_owner,asian_renter,black_hhs,black_owner,black_renter,latino_hhs,latino_owner,latino_renter,med_hh_inc,med_hh_inc_own,med_hh_inc_rent,nhw_hhs,nhw_owner,nhw_renter,owner_hhs,renter_hhs,total_hhs,total_pop,u_own,u_rent,cb_owner,p_cb_owner,cb_renter,p_cb_renter,prent,pown,prent_blk,prent_his,prent_nhw,prent_asian
Amador County,06005,2015,4005,114,0,,2.846441947565543,,"Amador County, California",89,69,20,16,3,13,981,743,238,54171,63705,30438,12432,9475,2957,10577,3348,13925,36995,10577,3348,3529,0.3336484825564905,1898,0.6231122783978988,0.24043087971274685,0.7595691202872531,0.8125,0.24260958205912334,0.23785392535392536,0.2247191011235955
Amador County,06005,2016,4069,111,0,,2.727942983534038,,"Amador County, California",97,56,41,18,3,15,891,663,228,57032,64304,32199,12864,9794,3070,10778,3470,14248,36963,10778,3470,3248,0.30135461124512897,1953,0.6106941838649156,0.243542953396968,0.756457046603032,0.8333333333333334,0.2558922558922559,0.2386504975124378,0.422680412371134
Amador County,06005,2017,4133,100,0,,2.4195499637067504,,"Amador County, California",131,87,44,6,6,0,1030,849,181,60636,67625,33460,12571,9736,2835,10921,3264,14185,37306,10921,3264,3009,0.27552421939382843,1764,0.5835262983790936,0.23010222065562214,0.7698977793443779,0,0.17572815533980582,0.22551905178585632,0.33587786259541985
Butte County,06007,2010,36627,1128,0,1103,3.0796953067409287,3.011439648346848,"Butte County, California",2251,923,1328,1066,414,652,8033,3732,4301,43170,56612,28395,70914,45641,25273,52321,33144,85465,218635,52321,33144,19121,0.36545555321954853,19227,0.6114096734187681,0.3878078745685368,0.6121921254314632,0.6116322701688556,0.5354164073198058,0.35638942944975605,0.58996001776988
Butte County,06007,2011,37060,1129,0,1103,3.046411225040475,2.9762547220723152,"Butte County, California",2373,995,1378,1096,332,764,8216,3798,4418,42971,56447,28384,70480,44788,25692,51406,33813,85219,219309,51406,33813,19072,0.3710072754153212,19741,0.6180264228914908,0.3967777138900949,0.603222286109905,0.6970802919708029,0.5377312560856865,0.3645289443813848,0.5806995364517489
Butte County,06007,2012,37493,1026,0,998,2.736510815352199,2.6618302083055503,"Butte County, California",2263,1081,1182,990,275,715,8417,3934,4483,43339,56763,28745,70218,44426,25792,51234,33840,85074,220101,51234,33840,18605,0.3631377600811961,19452,0.6093794054070988,0.3977713519994358,0.6022286480005642,0.7222222222222222,0.5326125697992159,0.36731322452932297,0.5223155103844455
Butte County,06007,2013,37926,1012,0,1001,2.6683541633707746,2.6393503137689187,"Butte County, California",2277,1136,1141,771,224,547,8842,3994,4848,43752,57584,29162,69706,44235,25471,51005,33811,84816,220542,51005,33811,17758,0.348161944907362,19633,0.6150881919859644,0.3986394076589323,0.6013605923410678,0.7094682230869002,0.5482922415743045,0.36540613433563823,0.5010979358805446
Butte County,06007,2014,38358,955,0,926,2.4897022785338128,2.4140987538453516,"Butte County, California",2388,1107,1281,921,180,741,9373,4169,5204,43165,58112,29095,69314,43747,25567,50593,34622,85215,221578,50593,34622,16472,0.3255786373608997,20502,0.6279133870325564,0.40628997242269554,0.5937100275773045,0.8045602605863192,0.5552117785127494,0.36885766223273797,0.5364321608040201
Butte County,06007,2015,38791,916,0,,2.3613724833079837,,"Butte County, California",2381,1159,1222,929,170,759,9439,4186,5253,43444,58230,29203,69264,43103,26161,50031,35287,85318,222564,50031,35287,15382,0.3074493813835422,21022,0.6282162388309476,0.4135938488947233,0.5864061511052767,0.8170075349838536,0.5565208178832504,0.3776998151998152,0.5132297354052919
Butte County,06007,2016,39224,874,0,,2.2282276157454617,,"Butte County, California",2371,1083,1288,867,208,659,9515,4203,5312,44366,60360,29475,69419,43108,26311,50051,35454,85505,223877,50051,35454,14525,0.2902039919282332,21363,0.6306420664206642,0.41464241857201334,0.5853575814279867,0.7600922722029988,0.5582764056752496,0.3790172719284346,0.5432307043441585
Butte County,06007,2017,39657,837,0,,2.1105983811180877,,"Butte County, California",2674,1040,1634,866,195,671,9794,4238,5556,46516,62291,30811,69440,43889,25551,50844,35323,86167,225207,50844,35323,14691,0.2889426481000708,21244,0.6311348781937017,0.4099365186208177,0.5900634813791823,0.7748267898383372,0.5672860935266489,0.36795794930875575,0.6110695587135377
Calaveras County,06009,2010,4366,232,0,,5.313788364635822,,"Calaveras County, California",207,190,17,200,144,56,1260,874,386,54971,62827,38750,16589,13214,3375,14816,3978,18794,45994,14816,3978,6068,0.4095572354211663,1899,0.5180032733224222,0.21166329679685006,0.78833670320315,0.28,0.30634920634920637,0.2034480679968654,0.0821256038647343
Calaveras County,06009,2011,4407,218,0,,4.94667574313592,,"Calaveras County, California",173,146,27,195,129,66,1266,753,513,55256,62099,41212,16631,13395,3236,14839,4026,18865,45794,14839,4026,6286,0.42361345104117526,1781,0.48462585034013606,0.21341107871720116,0.7865889212827988,0.3384615384615385,0.4052132701421801,0.19457639348205158,0.15606936416184972
Calaveras County,06009,2012,4448,178,0,,4.001798561151079,,"Calaveras County, California",213,213,0,163,130,33,1332,827,505,54686,62206,39396,16330,13141,3189,14726,3892,18618,45507,14726,3892,6360,0.43188917560776857,1900,0.5295429208472687,0.2090450102051778,0.7909549897948223,0.20245398773006135,0.3791291291291291,0.1952847519902021,0
Calaveras County,06009,2013,4490,141,0,138,3.1403118040089084,3.0734966592427617,"Calaveras County, California",198,181,17,109,76,33,1400,928,472,55295,61942,38658,16388,13116,3272,14666,4036,18702,45147,14666,4036,6172,0.42083731078685394,1888,0.5191091558977179,0.21580579617153245,0.7841942038284675,0.30275229357798167,0.33714285714285713,0.199658286551135,0.08585858585858586
Calaveras County,06009,2014,4531,143,0,,3.156036195100419,,"Calaveras County, California",200,165,35,42,42,0,1279,880,399,54936,60344,39655,16506,13259,3247,14692,3916,18608,44921,14692,3916,6015,0.40940647971685273,1782,0.5113342898134864,0.21044711951848669,0.7895528804815133,0,0.31196247068021893,0.1967163455713074,0.175
Calaveras County,06009,2015,4572,122,0,,2.668416447944007,,"Calaveras County, California",127,103,24,63,63,0,1199,715,484,53233,59333,35517,16065,12982,3083,14266,3794,18060,44767,14266,3794,5492,0.3849712603392682,1883,0.5554572271386431,0.21007751937984495,0.789922480620155,0,0.4036697247706422,0.19190787426081543,0.1889763779527559
Calaveras County,06009,2016,4613,130,0,,2.818122696726642,,"Calaveras County, California",205,166,39,67,67,0,1246,765,481,53502,61228,36316,15511,12235,3276,13643,4070,17713,44787,13643,4070,5065,0.3712526570402404,2102,0.5710404781309427,0.2297747417151245,0.7702252582848755,0,0.38603531300160515,0.21120495132486622,0.1902439024390244
Calaveras County,06009,2017,4654,150,0,,3.223033949290933,,"Calaveras County, California",200,166,34,73,73,0,1274,805,469,54800,64307,37300,15525,12427,3098,13931,3881,17812,45057,13931,3881,5236,0.37585241547627596,2071,0.5947731188971855,0.2178868178755895,0.7821131821244105,0,0.36813186813186816,0.19954911433172304,0.17
Colusa County,06011,2010,2738,46,0,46,1.6800584368151936,1.6800584368151936,"Colusa County, California",144,55,89,58,49,9,2670,1188,1482,48016,59347,31509,3922,3071,851,4490,2482,6972,21165,4490,2482,1547,0.34454342984409797,1061,0.4719750889679715,0.3559954102122777,0.6440045897877223,0.15517241379310345,0.5550561797752809,0.2169811320754717,0.6180555555555556
Colusa County,06011,2011,2777,64,0,,2.3046453006841916,,"Colusa County, California",134,64,70,78,41,37,2802,1340,1462,49558,60707,31266,3839,2862,977,4436,2553,6989,21297,4436,2553,1543,0.34783588818755634,1102,0.4671470962272149,0.3652883102017456,0.6347116897982544,0.47435897435897434,0.5217701641684511,0.25449335764522013,0.5223880597014925
Colusa County,06011,2012,2815,48,0,48,1.7051509769094138,1.7051509769094138,"Colusa County, California",93,53,40,62,30,32,2897,1340,1557,52165,62147,32411,3649,2820,829,4390,2494,6884,21329,4390,2494,1340,0.3052391799544419,1100,0.48845470692717585,0.3622893666472981,0.637710633352702,0.5161290322580645,0.5374525371073524,0.22718553028226912,0.43010752688172044
Colusa County,06011,2013,2854,39,0,38,1.3665031534688157,1.3314646110721795,"Colusa County, California",90,48,42,72,30,42,2864,1359,1505,52158,60164,35851,3646,2765,881,4335,2518,6853,21366,4335,2518,1319,0.30426758938869664,1062,0.4639580602883355,0.36743032248650226,0.6325696775134977,0.5833333333333334,0.5254888268156425,0.24163466812945694,0.4666666666666667
Colusa County,06011,2014,2893,35,0,,1.2098167991704112,,"Colusa County, California",115,67,48,87,37,50,2918,1422,1496,50503,60575,33108,3587,2727,860,4393,2519,6912,21424,4393,2519,1337,0.30434782608695654,1111,0.4801210025929127,0.3644386574074074,0.6355613425925926,0.5747126436781609,0.5126799177518848,0.23975466964036798,0.41739130434782606
Colusa County,06011,2015,2931,41,0,,1.3988399863527807,,"Colusa County, California",147,87,60,94,30,64,3081,1520,1561,52168,62573,34941,3472,2601,871,4331,2635,6966,21396,4331,2635,1227,0.2833063957515585,1053,0.43929912390488113,0.3782658627619868,0.6217341372380132,0.6808510638297872,0.5066536838688738,0.25086405529953915,0.40816326530612246
Colusa County,06011,2016,2970,39,0,39,1.3131313131313131,1.3131313131313131,"Colusa County, California",136,89,47,99,49,50,3084,1585,1499,54946,65083,41394,3441,2632,809,4489,2473,6962,21361,4489,2473,1169,0.26041434617955,979,0.434531735463826,0.35521401896006893,0.644785981039931,0.5050505050505051,0.48605706874189364,0.23510607381575124,0.34558823529411764
Colusa County,06011,2017,3009,61,0,,2.0272515785975407,,"Colusa County, California",147,79,68,71,34,37,3141,1682,1459,56481,66800,39600,3472,2594,878,4521,2526,7047,21479,4521,2526,1229,0.27184251271842513,1051,0.4565595134665508,0.35845040442741594,0.6415495955725841,0.5211267605633803,0.4645017510347023,0.2528801843317972,0.46258503401360546
Contra Costa County,06013,2010,123460,6068,0,,4.9149522112425075,,"Contra Costa County, California",45993,33705,12288,34698,15961,18737,61262,35125,26137,78385,97302,44711,216252,164994,51258,255807,112280,368087,1024809,255807,112280,115262,0.45058188399848326,60536,0.5566631110457204,0.30503658102568143,0.6949634189743186,0.5400023056083925,0.4266429434233293,0.23702902169690915,0.26717109125301675
Contra Costa County,06013,2011,125586,5772,0,,4.596053700253213,,"Contra Costa County, California",47847,34735,13112,34825,15586,19239,62602,34787,27815,79135,99819,45414,214943,161800,53143,253163,117762,370925,1037817,253163,117762,112026,0.44250542140834165,63818,0.5579910991422651,0.3174819707488037,0.6825180292511963,0.5524479540559942,0.44431487811890996,0.24724229214256804,0.2740401697076097
Contra Costa County,06013,2012,127712,4947,0,,3.8735592583312455,,"Contra Costa County, California",49033,34971,14062,34997,15328,19669,63863,33250,30613,78187,100587,46509,214291,159686,54605,249560,123585,373145,1052047,249560,123585,105439,0.4224995992947588,67202,0.5607924295275131,0.331198327727827,0.668801672272173,0.562019601680144,0.47935424267572774,0.2548170478461531,0.28678644994187585
Contra Costa County,06013,2013,129839,4346,0,,3.347222329192307,,"Contra Costa County, California",50555,35967,14588,35183,15222,19961,65243,32820,32423,78756,101217,47005,213337,157505,55832,247843,128012,375855,1065794,247843,128012,97122,0.3918690461300097,69183,0.556187092002444,0.3405887908901039,0.6594112091098961,0.5673478668675213,0.49695752801066784,0.26170800189371746,0.28855701711007814
Contra Costa County,06013,2014,131965,3922,0,,2.9720001515553367,,"Contra Costa County, California",51790,37118,14672,35145,14554,20591,67368,32863,34505,79799,102737,48430,213108,156006,57102,247153,133030,380183,1081232,247153,133030,91154,0.36881607749046136,72204,0.5592700458545049,0.3499104378680793,0.6500895621319207,0.5858870394081662,0.5121867949174682,0.26794864575708094,0.28329793396408576
Contra Costa County,06013,2015,134091,3517,0,,2.622845679426658,,"Contra Costa County, California",54043,38984,15059,35058,14103,20955,69681,33787,35894,80185,102834,50150,212043,154725,57318,248668,135978,384646,1096068,248668,135978,86715,0.34871796934064697,72981,0.5531545597865631,0.35351466023304545,0.6464853397669545,0.5977237720349136,0.515118898982506,0.2703130968718609,0.27864848361489924
