state,county,fips_state,fips_county,year,renting_hh,filings_observed,ind_filings_court_issued_lt,hh_threat_observed
California,Los Angeles County,6,6037,2006,1671482,52834,0,NA
California,Los Angeles County,6,6037,2007,1677725,62401,0,NA
California,Los Angeles County,6,6037,2008,1683968,74420,0,NA
California,Los Angeles County,6,6037,2009,1690212,70865,0,NA
California,Los Angeles County,6,6037,2010,1696455,67768,0,NA
California,Los Angeles County,6,6037,2011,1712410,67182,0,NA
California,Los Angeles County,6,6037,2012,1728365,61110,0,NA
California,Los Angeles County,6,6037,2013,1744320,56354,0,NA
California,Los Angeles County,6,6037,2014,1760275,55160,0,NA
California,Los Angeles County,6,6037,2015,1776230,51203,0,NA
California,Los Angeles County,6,6037,2016,1792185,47966,0,NA
California,Los Angeles County,6,6037,2017,1808140,44031,0,NA
California,Madera County,6,6039,2010,15591,701,0,NA
California,Madera County,6,6039,2011,15796,660,0,NA
California,Madera County,6,6039,2012,16001,499,0,NA
California,Madera County,6,6039,2013,16207,509,0,NA
California,Madera County,6,6039,2014,16412,451,0,NA
California,Madera County,6,6039,2015,16617,431,0,NA
California,Madera County,6,6039,2016,16822,416,0,NA
California,Madera County,6,6039,2017,17027,386,0,NA
California,Marin County,6,6041,2010,38573,673,0,NA
California,Marin County,6,6041,2011,38924,658,0,NA
California,Marin County,6,6041,2012,39274,540,0,NA
California,Marin County,6,6041,2013,39625,452,0,NA
California,Marin County,6,6041,2014,39975,435,0,NA
California,Marin County,6,6041,2015,40326,409,0,NA
California,Marin County,6,6041,2016,40676,349,0,NA
California,Marin County,6,6041,2017,41027,347,0,NA
California,Mariposa County,6,6043,2010,2466,55,0,NA
California,Mariposa County,6,6043,2011,2482,50,0,NA
California,Mariposa County,6,6043,2012,2497,48,0,NA
California,Mariposa County,6,6043,2013,2513,44,0,NA
California,Mariposa County,6,6043,2014,2528,40,0,NA
California,Mariposa County,6,6043,2015,2544,41,0,NA
California,Mariposa County,6,6043,2016,2559,45,0,NA
California,Mariposa County,6,6043,2017,2575,36,0,NA
California,Mendocino County,6,6045,2010,14344,320,0,NA
California,Mendocino County,6,6045,2011,14463,353,0,NA
California,Mendocino County,6,6045,2012,14582,297,0,294
California,Mendocino County,6,6045,2013,14701,323,0,320
California,Mendocino County,6,6045,2014,14819,297,0,293
California,Mendocino County,6,6045,2015,14938,289,0,NA
California,Mendocino County,6,6045,2016,15057,287,0,NA
California,Mendocino County,6,6045,2017,15176,289,0,NA
California,Merced County,6,6047,2010,34446,1635,0,NA
California,Merced County,6,6047,2011,34829,1446,0,NA
California,Merced County,6,6047,2012,35213,1374,0,NA
California,Merced County,6,6047,2013,35596,1211,0,NA
California,Merced County,6,6047,2014,35979,1096,0,NA
California,Merced County,6,6047,2015,36363,1006,0,NA
California,Merced County,6,6047,2016,36746,1029,0,NA
California,Merced County,6,6047,2017,37129,950,0,NA
California,Modoc County,6,6049,2010,1278,10,0,NA
California,Modoc County,6,6049,2011,1289,21,0,NA
California,Modoc County,6,6049,2012,1300,23,0,NA
California,Modoc County,6,6049,2013,1312,17,0,NA
California,Modoc County,6,6049,2015,1334,13,0,NA
California,Modoc County,6,6049,2016,1345,20,0,NA
California,Modoc County,6,6049,2017,1356,28,0,NA
California,Mono County,6,6051,2010,2540,17,0,NA
California,Mono County,6,6051,2011,2551,31,0,NA
California,Mono County,6,6051,2012,2562,23,0,NA
California,Mono County,6,6051,2013,2573,24,0,NA
California,Mono County,6,6051,2014,2583,13,0,NA
California,Mono County,6,6051,2015,2594,25,0,NA
California,Mono County,6,6051,2016,2605,14,0,NA
California,Mono County,6,6051,2017,2616,31,0,NA
California,Monterey County,6,6053,2010,61869,1606,0,NA
California,Monterey County,6,6053,2011,62351,1436,0,NA
California,Monterey County,6,6053,2012,62832,1221,0,NA
California,Monterey County,6,6053,2013,63314,1047,0,NA
California,Monterey County,6,6053,2014,63795,960,0,NA
California,Monterey County,6,6053,2015,64277,922,0,NA
California,Monterey County,6,6053,2016,64758,876,0,NA
California,Monterey County,6,6053,2017,65240,793,0,NA
California,Napa County,6,6055,2010,18279,447,0,NA
California,Napa County,6,6055,2011,18474,395,0,NA
California,Napa County,6,6055,2012,18669,335,0,NA
California,Napa County,6,6055,2013,18865,288,0,NA
California,Napa County,6,6055,2014,19060,273,0,NA
California,Napa County,6,6055,2015,19255,269,0,NA
California,Napa County,6,6055,2016,19450,211,0,NA
California,Napa County,6,6055,2017,19645,219,0,NA
California,Nevada County,6,6057,2012,11947,245,0,NA
California,Nevada County,6,6057,2013,12102,221,0,NA
California,Nevada County,6,6057,2014,12256,206,0,NA
California,Nevada County,6,6057,2015,12411,238,0,NA
California,Nevada County,6,6057,2016,12566,207,0,NA
California,Nevada County,6,6057,2017,12721,197,0,NA
California,Orange County,6,6059,2010,404468,15065,0,NA
California,Orange County,6,6059,2011,409994,14052,0,NA
California,Orange County,6,6059,2012,415521,12573,0,NA
California,Orange County,6,6059,2013,421047,11305,0,NA
California,Orange County,6,6059,2014,426573,11321,0,NA
California,Orange County,6,6059,2015,432100,10816,0,NA
California,Orange County,6,6059,2016,437626,10385,0,NA
California,Orange County,6,6059,2017,443152,9661,0,NA
California,Placer County,6,6061,2010,38404,1439,0,NA
California,Placer County,6,6061,2011,39150,1298,0,NA
California,Placer County,6,6061,2012,39897,991,0,NA
California,Placer County,6,6061,2013,40643,853,0,NA
California,Placer County,6,6061,2014,41389,823,0,NA
California,Placer County,6,6061,2015,42136,740,0,NA
California,Placer County,6,6061,2016,42882,686,0,NA
California,Placer County,6,6061,2017,43628,646,0,NA
California,Plumas County,6,6063,2010,2742,54,0,NA
California,Plumas County,6,6063,2011,2763,69,0,NA
California,Plumas County,6,6063,2012,2784,61,0,61
California,Plumas County,6,6063,2013,2805,68,0,NA
California,Plumas County,6,6063,2014,2825,52,0,52
California,Plumas County,6,6063,2015,2846,51,0,NA
California,Plumas County,6,6063,2016,2867,60,0,NA
California,Plumas County,6,6063,2017,2888,45,0,NA
California,Riverside County,6,6065,2010,224048,17451,0,NA
California,Riverside County,6,6065,2011,228217,19305,0,NA
California,Riverside County,6,6065,2012,232387,13776,0,NA
California,Riverside County,6,6065,2013,236556,12530,0,NA
California,Riverside County,6,6065,2014,240725,11577,0,NA
California,Riverside County,6,6065,2015,244895,11147,0,NA
California,Riverside County,6,6065,2016,249064,10458,0,NA
California,Riverside County,6,6065,2017,253233,9759,0,9305
California,Sacramento County,6,6067,2010,218463,12492,0,NA
California,Sacramento County,6,6067,2011,221201,11413,0,11334
California,Sacramento County,6,6067,2012,223938,10259,0,10133
California,Sacramento County,6,6067,2013,226676,10132,0,9982
California,Sacramento County,6,6067,2014,229414,9395,0,9297
California,Sacramento County,6,6067,2015,232151,8380,0,8312
California,Sacramento County,6,6067,2016,234889,7822,0,7740
California,Sacramento County,6,6067,2017,237627,7163,0,NA
California,San Benito County,6,6069,2010,5878,216,0,NA
California,San Benito County,6,6069,2011,5978,177,0,NA
California,San Benito County,6,6069,2012,6078,146,0,NA
California,San Benito County,6,6069,2013,6179,123,0,NA
California,San Benito County,6,6069,2014,6279,138,0,NA
California,San Benito County,6,6069,2015,6379,111,0,NA
California,San Benito County,6,6069,2016,6479,89,0,NA
California,San Benito County,6,6069,2017,6579,91,0,NA
California,San Bernardino County,6,6071,2010,228045,19413,0,18989
California,San Bernardino County,6,6071,2011,231034,17801,0,NA
California,San Bernardino County,6,6071,2012,234022,16070,0,NA
California,San Bernardino County,6,6071,2013,237011,14500,0,NA
California,San Bernardino County,6,6071,2014,240000,13758,0,NA
California,San Bernardino County,6,6071,2015,242988,13023,0,NA
California,San Bernardino County,6,6071,2016,245977,12141,0,NA
California,San Bernardino County,6,6071,2017,248966,11350,0,NA
California,San Diego County,6,6073,2010,495840,15415,0,NA
California,San Diego County,6,6073,2011,502201,14575,0,NA
California,San Diego County,6,6073,2012,508562,13273,0,NA
California,San Diego County,6,6073,2013,514923,11977,0,NA
California,San Diego County,6,6073,2014,521284,11210,0,NA
California,San Diego County,6,6073,2015,527645,10656,0,NA
California,San Diego County,6,6073,2016,534006,10162,0,NA
California,San Diego County,6,6073,2017,540367,9230,0,NA
California,San Francisco County,6,6075,2000,214309,3601,0,NA
California,San Francisco County,6,6075,2001,215095,3837,0,NA
California,San Francisco County,6,6075,2002,215880,3639,0,3441
California,San Francisco County,6,6075,2003,216666,3702,0,3469
California,San Francisco County,6,6075,2004,217451,3769,0,3572
California,San Francisco County,6,6075,2005,218237,3834,0,NA
California,San Francisco County,6,6075,2006,219023,3479,0,NA
California,San Francisco County,6,6075,2007,219808,3716,0,NA
California,San Francisco County,6,6075,2008,220594,3553,0,NA
California,San Francisco County,6,6075,2009,221379,3230,0,NA
California,San Francisco County,6,6075,2010,222165,3318,0,NA
California,San Francisco County,6,6075,2011,224984,4192,0,NA
California,San Francisco County,6,6075,2012,227802,3695,0,NA
California,San Francisco County,6,6075,2013,230621,3423,0,NA
California,San Francisco County,6,6075,2014,233439,3355,0,NA
California,San Francisco County,6,6075,2015,236258,3053,0,NA
California,San Francisco County,6,6075,2016,239076,3036,0,NA
California,San Francisco County,6,6075,2017,241895,3037,0,NA
California,San Francisco County,6,6075,2018,244713,2924,0,NA
California,San Joaquin County,6,6077,2010,87737,4791,0,NA
California,San Joaquin County,6,6077,2011,88885,4471,0,NA
California,San Joaquin County,6,6077,2012,90032,3986,0,NA
California,San Joaquin County,6,6077,2013,91180,3799,0,NA
California,San Joaquin County,6,6077,2014,92327,3781,0,NA
California,San Joaquin County,6,6077,2015,93475,3527,0,NA
California,San Joaquin County,6,6077,2016,94622,3563,0,NA
California,San Joaquin County,6,6077,2017,95770,3201,0,NA
California,San Luis Obispo County,6,6079,2010,41096,869,0,NA
California,San Luis Obispo County,6,6079,2011,41568,703,0,NA
California,San Luis Obispo County,6,6079,2012,42040,679,0,NA
California,San Luis Obispo County,6,6079,2013,42512,608,0,NA
California,San Luis Obispo County,6,6079,2014,42984,550,0,NA
California,San Luis Obispo County,6,6079,2015,43456,455,0,NA
California,San Luis Obispo County,6,6079,2016,43928,502,0,NA
California,San Luis Obispo County,6,6079,2017,44400,500,0,NA
California,San Mateo County,6,6081,2010,104727,2122,0,NA
California,San Mateo County,6,6081,2011,106050,1981,0,NA
California,San Mateo County,6,6081,2012,107374,1872,0,NA
California,San Mateo County,6,6081,2013,108697,1590,0,NA
California,San Mateo County,6,6081,2014,110020,1562,0,NA
California,San Mateo County,6,6081,2015,111344,1396,0,NA
California,San Mateo County,6,6081,2016,112667,1204,0,NA
California,San Mateo County,6,6081,2017,113990,1175,0,NA
California,Santa Barbara County,6,6083,2010,67277,1258,0,NA
California,Santa Barbara County,6,6083,2011,67864,1261,0,NA
California,Santa Barbara County,6,6083,2012,68450,1212,0,NA
California,Santa Barbara County,6,6083,2013,69037,1074,0,NA
California,Santa Barbara County,6,6083,2014,69624,1085,0,NA
California,Santa Barbara County,6,6083,2015,70210,1022,0,NA
California,Santa Barbara County,6,6083,2016,70797,986,0,NA
California,Santa Barbara County,6,6083,2017,71384,917,0,NA
California,Santa Clara County,6,6085,2010,255906,5578,0,NA
California,Santa Clara County,6,6085,2011,260273,5130,0,NA
California,Santa Clara County,6,6085,2012,264641,4329,0,NA
California,Santa Clara County,6,6085,2013,269008,3811,0,NA
California,Santa Clara County,6,6085,2014,273375,3602,0,NA
California,Santa Clara County,6,6085,2015,277743,3133,0,NA
California,Santa Clara County,6,6085,2016,282110,2806,0,NA
California,Santa Clara County,6,6085,2017,286477,2800,0,NA
California,Santa Cruz County,6,6087,2010,40126,765,0,NA
California,Santa Cruz County,6,6087,2011,40589,682,0,NA
California,Santa Cruz County,6,6087,2012,41052,626,0,NA
California,Santa Cruz County,6,6087,2013,41516,480,0,NA
California,Santa Cruz County,6,6087,2014,41979,488,0,NA
California,Santa Cruz County,6,6087,2015,42442,482,0,NA
California,Santa Cruz County,6,6087,2016,42905,412,0,NA
California,Santa Cruz County,6,6087,2017,43368,407,0,NA
California,Shasta County,6,6089,2010,25069,857,0,NA
California,Shasta County,6,6089,2011,25358,881,0,NA
California,Shasta County,6,6089,2012,25647,852,0,NA
California,Shasta County,6,6089,2013,25936,796,0,NA
California,Shasta County,6,6089,2014,26225,668,0,662
California,Shasta County,6,6089,2015,26514,651,0,NA
California,Shasta County,6,6089,2016,26803,711,0,NA
California,Shasta County,6,6089,2017,27092,659,0,NA
California,Sierra County,6,6091,2010,417,10,0,NA
California,Sierra County,6,6091,2011,416,8,0,NA
California,Sierra County,6,6091,2012,415,13,0,13
California,Sierra County,6,6091,2013,415,5,0,5
California,Sierra County,6,6091,2014,414,6,0,6
California,Sierra County,6,6091,2015,413,7,0,NA
California,Sierra County,6,6091,2016,412,7,0,NA
California,Sierra County,6,6091,2017,411,10,0,NA
California,Siskiyou County,6,6093,2010,6876,141,0,NA
California,Siskiyou County,6,6093,2011,6945,173,0,NA
California,Siskiyou County,6,6093,2012,7013,168,0,NA
California,Siskiyou County,6,6093,2013,7082,198,0,NA
California,Siskiyou County,6,6093,2014,7151,177,0,NA
California,Siskiyou County,6,6093,2015,7219,214,0,NA
California,Siskiyou County,6,6093,2016,7288,173,0,NA
California,Siskiyou County,6,6093,2017,7357,196,0,NA
California,Solano County,6,6095,2010,52110,3063,0,NA
California,Solano County,6,6095,2011,52865,2882,0,NA
California,Solano County,6,6095,2012,53619,2541,0,NA
California,Solano County,6,6095,2013,54374,2426,0,2351
California,Solano County,6,6095,2014,55128,2409,0,2338
California,Solano County,6,6095,2015,55883,2128,0,2081
California,Solano County,6,6095,2016,56637,2002,0,NA
