county_name,entity_id,year,revenues_govfunds,revenues_propfunds,total_revenues,vehicle_fines,other_court_fines,forfeitures,delinquent_taxes,total_fines,state_intergov,fed_intergov,ownsource_rev,fines_share,vehicle_fines_share,GEOID,NAME,total_pop,his,nha,nhaian,nhb,nhmixed,nhnh,nhsor,nhw,pnhw,pnhb,phis,papi
Colusa,6,2018,55686728,5481239,61167967,39184,590677,113112,300897,1043870,26588623,5129454,23968651,0.0435514706271955,0.0016348020587391423,06011,"Colusa County, California",21464,12655,324,159,277,294,53,30,7672,0.35743570629891913,0.012905329854640327,0.5895918747670518,0.01756429370108088
Colusa,6,2017,51254915,5162628,56417543,53594,765604,166219,559546,1544963,23540187,3794168,23920560,0.06458724210469989,0.002240499386301993,06011,"Colusa County, California",21479,12539,328,230,186,326,16,54,7800,0.36314539783043903,0.008659621025187393,0.5837795055635737,0.01601564318636808
Contra Costa,7,2021,2392906737,1904428810,4297335547,1273935,2681512,2096888,21309075,27361410,736683147,464514724,1191708866,0.022959810722764228,0.001068998508231288,06013,"Contra Costa County, California",1161643,304321,203875,2158,96256,61290,5268,4956,483519,0.416237174415892,0.08286194639833408,0.2619746342034515,0.18004068375568053
Contra Costa,7,2020,2141019444,1668790775,3809810219,1794613,3645294,2434947,1115605,8990459,664489042,349825716,1126704686,0.007979428071713904,0.0015927980262256582,06013,"Contra Costa County, California",1147788,295791,196904,2198,94463,59875,5269,4153,489135,0.42615448148961305,0.08230004147107306,0.25770525567439284,0.17614141287415447
Contra Costa,7,2019,2054921234,1638306095,3693227329,1838830,4110251,2825257,1016996,9791334,679606039,298060165,1077255030,0.009089151340514048,0.0017069588433483573,06013,"Contra Costa County, California",1142251,292298,188237,2278,95892,54000,5297,3657,500592,0.43825043707556394,0.08395002499450646,0.25589647109085484,0.16943211255669727
Contra Costa,7,2018,1638478435,1589916643,3228395078,1934444,3789078,3794741,21265759,30784022,620608435,214221998,803648002,0.03830535498550272,0.002407078715041713,06013,"Contra Costa County, California",1133247,288101,182135,2376,93683,54921,5251,3829,502951,0.4438141023095583,0.08266776792702739,0.2542261307552546,0.16535318425727136
Contra Costa,7,2017,1583174065,1489291341,3072465406,1983442,4502469,2893862,23912480,33292253,586734291,226875928,769563846,0.04326119681043332,0.0025773586042398358,06013,"Contra Costa County, California",1123678,284003,177544,2668,93140,52576,5195,3734,504818,0.44925503569527925,0.08288851432527823,0.25274411352718484,0.16262577001596543
Del Norte,8,2021,86240534,8878055,95118589,1004,429933,28391,465791,925119,48574054,18881731,18784749,0.04924840890873761,5.3447613273938345e-5,06015,"Del Norte County, California",27655,5663,810,1683,799,1639,43,401,16617,0.600867835834388,0.028891701319833665,0.20477309708913397,0.030844331947206653
Del Norte,8,2020,72897333,8723908,81621241,774,520033,17301,444332,982440,36888218,17386039,18623076,0.05275390596054057,4.156134035000448e-5,06015,"Del Norte County, California",27692,5552,851,1867,723,1380,50,341,16928,0.6112956810631229,0.026108623429149214,0.20049111656796187,0.03253647262747364
Del Norte,8,2019,69775254,8462382,78237636,666,560022,15601,280427,856716,37233094,16229624,16312536,0.05251887260202828,4.082749610483618e-5,06015,"Del Norte County, California",27495,5429,862,1943,899,1114,44,176,17028,0.6193126022913257,0.03269685397344972,0.19745408256046554,0.03295144571740317
