county_name,entity_id,year,revenues_govfunds,revenues_propfunds,expenditures_gov,expenditures_prop,total_revenues,total_expenditures,vehicle_fines,other_court_fines,forfeitures,delinquent_taxes,total_fines,state_intergov,fed_intergov,ownsource_rev,fines_share,vehicle_fines_share,library,edu,police,corrections,fire,GEOID,NAME,total_pop,his,nha,nhaian,nhb,nhmixed,nhnh,nhsor,nhw,pnhw,pnhb,phis,papi,fines_share_tot_rev,fines_per_cap,vehicle_fines_share_tot_rev,vehicle_fines_per_cap,police_share,corrections_share,fire_share,library_share,edu_share,police_per_1000,edu_per_1000
Orange,30,2010,,,,,2857844038,2831835154,11220022,20828465,15456960,53522092,101027539,1121895559,477078206,,,,34411136,34411136,287067311,325648342,0,06059,"Orange County, California",2965525,973899,517048,7309,45009,54137,8957,9363,1349803,0.4551649370684786,0.015177413780022088,0.32840694312136975,0.17737331501167583,0.035350963053498864,34.0673368122002,0.003926044196537782,3.7834858920427243,0.10137147658277852,0.11499551502495403,0,0.012151532179192659,0.012151532179192659,96801.51440301465,11603.724804208361
Orange,30,2009,,,,,2868998435,3149978320,11452479,19668046,14421794,62660622,108202941,1102860462,452498375,,,,36363104,36363104,293824509,363392251,0,06059,"Orange County, California",2976831,987175,475394,8574,47501,48622,9055,10288,1390222,0.4670140830970922,0.015956901819418032,0.3316194301927117,0.16273983978264134,0.03771453468917629,36.34836542618644,0.003991803850530856,3.8472049639364814,0.09327826389611468,0.11536341335834972,0,0.011543921991183736,0.011543921991183736,98703.7923886173,12215.3740000692
Orange,30,2008,,,,,3173195503,3491037747,9029176,19495793,18048714,121361228,167934911,1081284705,471941401,,,,36244983,36244983,310886994,349661955,0,,,,,,,,,,,,,,,,0.052922963883325534,,0.002845452160594468,,0.08905288814684363,0.10015988950577222,0,0.010382294786456229,0.010382294786456229,,
Orange,30,2007,,,,,3270132288,3070017986,8767825,18154799,14957969,77788410,119669003,1116815200,403614645,,,,35026904,35026904,278462392,316723145,0,,,,,,,,,,,,,,,,0.03659454494826846,,0.002681183581524883,,0.09070383081462507,0.10316654379366232,0,0.011409348140542131,0.011409348140542131,,
Orange,30,2006,,,,,3114091645,3054961453,9701837,17694989,13156683,71035168,111588677,1081904743,372851463,,,,30106391,30106391,276371743,259986242,0,,,,,,,,,,,,,,,,0.03583345955125222,,0.0031154629041111603,,0.09046652380133977,0.08510295334322178,0,0.009854916817505258,0.009854916817505258,,
Orange,30,2005,,,,,2653330325,2581563019,9045684,16754128,12991774,61091009,99882595,989116761,413452974,,,,28908269,28908269,264848785,240098263,0,,,,,,,,,,,,,,,,0.03764423677628605,,0.0034091812522438194,,0.10259241515730745,0.09300499783770726,0,0.011197971456531777,0.011197971456531777,,
Orange,30,2004,,,,,2474832940,2516292393,10774646,14320506,11349650,66528255,102973057,1065897039,391195945,,,,30264850,30264850,257792065,237794656,0,,,,,,,,,,,,,,,,0.04160808405920118,,0.0043536861926526645,,0.1024491691494773,0.09450199693068817,0,0.0120275569262908,0.0120275569262908,,
Orange,30,2003,,,,,2389584420,2438863586,10799275,15176196,16562433,68101773,110639677,1010269038,434317221,,,,26656011,26656011,227689394,237785325,0,,,,,,,,,,,,,,,,0.04630080279817023,,0.004519310935246222,,0.09335880666184992,0.09749841129490709,0,0.01092968510129701,0.01092968510129701,,
Placer,31,2021,780628825,150527111,703614430,163226172,931155936,866840602,218773,2292181,1850627,6979262,11340843,227965329,152640097,400023399,0.02835044906960555,5.469005076875515e-4,7704102,8146239,80070175,103442814,11476863,06061,"Placer County, California",400330,58635,33652,1198,6197,17304,531,1413,281400,0.7029200909249869,0.015479729223390703,0.14646666500137387,0.08538705567906477,0.012179316655293277,28.328736292558638,2.349477585245185e-4,0.5464816526365748,0.09237012527477341,0.11933314355757416,0.01323987705873519,0.008887564775144208,0.009397620486632443,200010.42889616068,20348.809731971123
Placer,31,2020,700436819,127587727,714761404,133771124,828024546,848532528,271647,1769550,5757323,3683971,11482491,199119324,113822137,387495358,0.029632589818017897,7.010329140510633e-4,7756875,8154021,78726803,96423668,12528683,06061,"Placer County, California",391799,55932,31402,1264,6080,15650,474,731,280266,0.7153310753728315,0.015518161097909898,0.14275687278425928,0.08135804328239735,0.013867331657581078,29.307096240674426,3.280663614530094e-4,0.6933325506190674,0.09277994702873665,0.11363579452548694,0.014765118114599844,0.009141517554174423,0.00960955618191693,200936.71244694345,20811.74530818098
Placer,31,2019,638252668,124743704,604106909,128076802,762996372,732183711,337072,2265863,6123115,5042119,13768169,179379002,81197500,377676166,0.03645495861128817,8.924894667565546e-4,8143193,8612061,81542937,78482806,11787332,06061,"Placer County, California",385512,53969,28573,1373,6361,14174,566,391,280105,0.7265791985722883,0.016500134885554796,0.13999304820602212,0.07558519579157069,0.018044868239556977,35.71398296291685,4.4177405341581363e-4,0.8743489178028181,0.11136950436746332,0.10719004646089429,0.01609887221323338,0.011121789351033515,0.011762158691345156,211518.5441698313,22339.28126750918
Placer,31,2018,606483163,99715409,606924787,110250390,706198572,717175177,274016,1794938,2586326,4962710,9617990,174454114,84141628,347887421,0.027646846133019567,7.876571081884562e-4,7614744,8112109,76006179,84706251,3691535,06061,"Placer County, California",380077,52498,27196,1244,5868,13912,576,403,278380,0.7324305338128853,0.015438976838903697,0.13812464316441142,0.07306940435753807,0.013619384662250492,25.305372332448425,3.880155113086238e-4,0.7209486498788403,0.1059799354990782,0.11811096328561299,0.0051473267876364324,0.01061769041122292,0.011311196009228301,199975.7391265454,21343.330430412785
Placer,31,2017,564531982,94043630,581789627,96589236,658575612,678378863,290368,1567820,3288542,5628080,10774810,159531967,75832111,329167904,0.032733476955274475,8.821273170059739e-4,6709720,7210522,70279472,77796958,3742129,06061,"Placer County, California",374985,51131,25568,1304,5399,13957,556,316,276754,0.7380401882741976,0.014397909249703321,0.13635478752483432,0.06966678667146686,0.01636077893513008,28.733976025707694,4.4090305609433954e-4,0.7743456404922864,0.10359914766389176,0.11468069281515925,0.005516281836157386,0.009890815244931945,0.01062904874145526,187419.42211021774,19228.827819779457
Placer,31,2016,,,,,554756015,567780132,231789,1818790,3208285,5415825,10674689,160324647,76833630,,,,6143739,6584606,68927708,70093998,2977541,06061,"Placer County, California",370571,49904,24485,1252,5162,13684,529,335,275220,0.7426916839148233,0.013929854197980953,0.13466785042542453,0.06750123458122735,0.019242132958215873,28.806056059432606,4.1782151744672834e-4,0.625491471270013,0.1213985909602064,0.12345271355849416,0.005244179625503345,0.010820630476023772,0.011597105338655985,186004.0532043792,17768.81083517059
Placer,31,2015,,,,,542797010,567993038,236752,2136194,2163027,5817324,10353297,163960863,79533873,,,,5786520,6222574,61964200,63149295,2862670,06061,"Placer County, California",366280,49158,23980,1358,4978,13034,497,461,272814,0.74482363219395,0.013590695642677732,0.13420880200939173,0.066825925521459,0.01907397573910733,28.266072403625643,4.3617042031974347e-4,0.646368898110735,0.10909323856888542,0.11117969900187404,0.0050399737470021595,0.010187660081847693,0.010955370195928352,169171.67194496014,16988.571584580102
Placer,31,2014,,,,,555803233,540723763,218638,2238379,2248440,6625393,11330850,159689790,87225956,,,,5948072,6289234,57807234,61242784,3247452,06061,"Placer County, California",361518,47800,22855,1681,4504,12655,574,487,270962,0.7495117808795136,0.012458577442893576,0.1322202490609043,0.06480728483782273,0.020386441328958588,31.34242278392777,3.9337302667327234e-4,0.604777632095774,0.10690714548825922,0.11326075935745403,0.006005750481507875,0.01100020455361419,0.011631140390624926,159901.39910045973,17396.73819837463
Placer,31,2013,,,,,492350158,496659104,257915,2356219,2352168,8361200,13327502,147338960,87330025,,,,5966570,6293023,56743470,56015422,2472234,06061,"Placer County, California",355924,46425,21953,1805,4147,11852,537,691,268514,0.7544138636338095,0.011651363774288893,0.1304351490767692,0.06318764680100246,0.027069153494615108,37.44479720389746,5.238446577283316e-4,0.7246350344455558,0.1142503369876816,0.11278444621041317,0.0049777281440913645,0.012013411114276082,0.012670709042313256,159425.80438520582,17680.805452849483
Placer,31,2012,,,,,488607298,490195023,300403,2325643,2273485,7932571,12832102,147940257,93126191,,,,5767909,6073542,57710090,51915741,2375069,06061,"Placer County, California",350074,44888,21306,2015,4095,10231,725,749,266065,0.760025023280792,0.011697526808617607,0.12822431828699074,0.0629324085764724,0.026262608136483463,36.65539857287317,6.148148036871934e-4,0.8581128561389878,0.11772883707960453,0.10590833966912798,0.004845151191998128,0.011766559694344347,0.012390052356773928,164851.11719236505,17349.309003239316
Placer,31,2011,,,,,480857612,532110617,271879,2845031,2750776,9350206,15217892,140185509,82005703,,,,5550464,5875105,54456471,47165949,8733809,06061,"Placer County, California",343554,43268,20048,2173,4297,9388,637,773,262970,0.7654400763780949,0.012507495182707813,0.12594235549578814,0.060208875460626275,0.03164739752523664,44.29548775447237,5.654043800392204e-4,0.7913719531718449,0.10234050827067034,0.0886393683815559,0.01641352140132171,0.010431034117103511,0.011041134704515771,158509.20379329013,17100.965204887732
